Theater,TheaterLabel,Sitz,SitzLabel
http://www.wikidata.org/entity/Q122798971,Theatergruppe Haimhausen,http://www.wikidata.org/entity/Q512178,Haimhausen
http://www.wikidata.org/entity/Q122798973,Theatergruppe Hartmannshof,http://www.wikidata.org/entity/Q508431,Pommelsbrunn
http://www.wikidata.org/entity/Q122798974,Theatergruppe Heiligkreuz,http://www.wikidata.org/entity/Q701312,Feichten
http://www.wikidata.org/entity/Q122798976,Theatergruppe Hesselbach,http://www.wikidata.org/entity/Q334666,Üchtelhausen
http://www.wikidata.org/entity/Q122798977,Theatergruppe Hettenshausen,http://www.wikidata.org/entity/Q490442,Hettenshausen
http://www.wikidata.org/entity/Q122798979,Theatergruppe Hilgertshausen,http://www.wikidata.org/entity/Q524247,Hilgertshausen-Tandern
http://www.wikidata.org/entity/Q122798981,Theatergruppe Hofkirchen,http://www.wikidata.org/entity/Q545342,Taufkirchen (Vils)
http://www.wikidata.org/entity/Q122798982,Theatergruppe Hohenpeißenberg,http://www.wikidata.org/entity/Q533232,Hohenpeißenberg
http://www.wikidata.org/entity/Q122798984,Theatergruppe Holzgünz-Schwaighausen,http://www.wikidata.org/entity/Q548535,Holzgünz
http://www.wikidata.org/entity/Q122798985,Theatergruppe Hörzhausen,http://www.wikidata.org/entity/Q504746,Schrobenhausen
http://www.wikidata.org/entity/Q122798987,Theatergruppe Hummendorf,http://www.wikidata.org/entity/Q513823,Küps
http://www.wikidata.org/entity/Q122798989,Theatergruppe Hutthurm,http://www.wikidata.org/entity/Q504950,Salzweg
http://www.wikidata.org/entity/Q122798990,Theatergruppe im Kameradschaftsbund,http://www.wikidata.org/entity/Q504113,Ederheim
http://www.wikidata.org/entity/Q122798992,Theatergruppe im Musik- und Kulturverein Traubing,http://www.wikidata.org/entity/Q533166,Tutzing
http://www.wikidata.org/entity/Q122798994,Theatergruppe im SSV Anhausen,http://www.wikidata.org/entity/Q506614,Diedorf
